"Transaction ID"	"Account ID"	"Symbol ID"	"ISIN"	"Operation type"	"When"	"Sum"	"Asset"	"EUR equivalent"	"Comment"	"UUID"	"Parent UUID"
"363030932"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-06-10 03:00:26"	"-0.64"	"EUR"	"-0.64"	"-9189.28 EUR (cash -9189.28 P/L 0.00 margin 0.00) from 2022-06-13 till 2022-06-14"	"6852cfd9-616a-4ecb-b951-d2f2d6b50a5e"	"None"
"362885899"	"UYS2073.001"	"ISVL.BATS"	"None"	"TAX"	"2022-06-09 16:43:46"	"-12.74"	"USD"	"-11.95"	"75 shares ExD 2022-06-09 PD 2022-06-15 dividend ISVL.BATS 42.45 USD (0.565993 per share) tax -12.74 USD (-30.00%) DivCntry US"	"a33ec8f6-e987-4e1c-b597-b382c43fbf9e"	"e4bba7a6-86d6-4da9-b699-029a14cf40a1"
"362885898"	"UYS2073.001"	"ISVL.BATS"	"None"	"DIVIDEND"	"2022-06-09 16:43:46"	"42.45"	"USD"	"39.83"	"75 shares ExD 2022-06-09 PD 2022-06-15 dividend ISVL.BATS 42.45 USD (0.565993 per share) tax -12.74 USD (-30.00%) DivCntry US"	"e4bba7a6-86d6-4da9-b699-029a14cf40a1"	"None"
"362880852"	"UYS2073.001"	"IEMG.ARCA"	"None"	"TAX"	"2022-06-09 16:39:58"	"-3.63"	"USD"	"-3.41"	"20 shares ExD 2022-06-09 PD 2022-06-15 dividend IEMG.ARCA 12.09 USD (0.604409 per share) tax -3.63 USD (-30.00%) DivCntry US"	"4c05f044-bb7b-4acc-a45d-5e1037567bc4"	"aa2965ab-d655-4c22-a297-0503258c13b9"
"362880851"	"UYS2073.001"	"IEMG.ARCA"	"None"	"DIVIDEND"	"2022-06-09 16:39:58"	"12.09"	"USD"	"11.35"	"20 shares ExD 2022-06-09 PD 2022-06-15 dividend IEMG.ARCA 12.09 USD (0.604409 per share) tax -3.63 USD (-30.00%) DivCntry US"	"aa2965ab-d655-4c22-a297-0503258c13b9"	"None"
"362880808"	"UYS2073.001"	"IXUS.NASDAQ"	"None"	"TAX"	"2022-06-09 16:39:54"	"-5.7"	"USD"	"-5.35"	"20 shares ExD 2022-06-09 PD 2022-06-15 dividend IXUS.NASDAQ 18.97 USD (0.948086 per share) tax -5.70 USD (-30.00%) DivCntry US"	"58d02572-f806-463c-8a49-37a2f9b6019d"	"c9599295-9990-4288-8c69-7c3dbf8be84a"
"362880807"	"UYS2073.001"	"IXUS.NASDAQ"	"None"	"DIVIDEND"	"2022-06-09 16:39:54"	"18.97"	"USD"	"17.81"	"20 shares ExD 2022-06-09 PD 2022-06-15 dividend IXUS.NASDAQ 18.97 USD (0.948086 per share) tax -5.70 USD (-30.00%) DivCntry US"	"c9599295-9990-4288-8c69-7c3dbf8be84a"	"None"
"362879262"	"UYS2073.001"	"ISCV.ARCA"	"None"	"TAX"	"2022-06-09 16:38:45"	"-1.88"	"USD"	"-1.77"	"30 shares ExD 2022-06-09 PD 2022-06-15 dividend ISCV.ARCA 6.25 USD (0.208317 per share) tax -1.88 USD (-30.00%) DivCntry US"	"86c48283-b309-4dbe-afc3-abc750425ed9"	"6f593ab0-787d-48a0-be57-a94deeb18e1b"
"362879261"	"UYS2073.001"	"ISCV.ARCA"	"None"	"DIVIDEND"	"2022-06-09 16:38:45"	"6.25"	"USD"	"5.87"	"30 shares ExD 2022-06-09 PD 2022-06-15 dividend ISCV.ARCA 6.25 USD (0.208317 per share) tax -1.88 USD (-30.00%) DivCntry US"	"6f593ab0-787d-48a0-be57-a94deeb18e1b"	"None"
"362877036"	"UYS2073.001"	"IJS.ARCA"	"None"	"TAX"	"2022-06-09 16:37:21"	"-0.52"	"USD"	"-0.49"	"6 shares ExD 2022-06-09 PD 2022-06-15 dividend IJS.ARCA 1.71 USD (0.283479 per share) tax -0.52 USD (-30.00%) DivCntry US"	"4355ddc0-97e3-4920-b22b-b70277c1d592"	"e0eceb92-8671-48d3-8ea4-678fe49e672a"
